District,County,Route,Road_Name,Begin_MP,End_MP,Comments,Reported_On,End_Date,Route_Link
2,Henderson,KY-136,KY-136 WEST,0.0,6.0,Roadway closed due to flooding. Updates as available.,2021-03-03 09:04:00,2021-03-04 14:44:01+00:00,"https://kytc.maps.arcgis.com/apps/webappviewer/index.html?id=327a38decc8c4e5cb882dc6cd0f9d45d&zoom=14&center=-87.85801,37.88854"
2,Henderson,KY-136,KY-136 WEST,0.0,8.0,Roadway closed due to flooding. Updates as available.,2021-03-03 09:04:00,2021-03-04 14:48:05+00:00,"https://kytc.maps.arcgis.com/apps/webappviewer/index.html?id=327a38decc8c4e5cb882dc6cd0f9d45d&zoom=14&center=-87.85801,37.88854"
2,Henderson,KY-136,KY-136 WEST,0.0,5.0,Roadway closed due to flooding. Updates as available,2021-03-06 10:52:00,2021-03-22 20:58:01+00:00,"https://kytc.maps.arcgis.com/apps/webappviewer/index.html?id=327a38decc8c4e5cb882dc6cd0f9d45d&zoom=14&center=-87.844962,37.878421"
2,Henderson,KY-136,KY-136 WEST,0.0,8.0,Roadway closed due to flooding. Updates as available,2021-03-06 10:52:00,2021-03-09 13:46:00+00:00,"https://kytc.maps.arcgis.com/apps/webappviewer/index.html?id=327a38decc8c4e5cb882dc6cd0f9d45d&zoom=14&center=-87.844962,37.878421"
2,Henderson,KY-136,KY-136 WEST,0.0,10.7,Roadway closed due to flooding. Updates as available,2021-03-06 10:52:00,2021-03-15 20:06:00+00:00,"https://kytc.maps.arcgis.com/apps/webappviewer/index.html?id=327a38decc8c4e5cb882dc6cd0f9d45d&zoom=14&center=-87.844962,37.878421"
2,Muhlenberg,KY-1379,KY-1379,0.0,2.0,Road closed due to flooding. Updates as available.,2021-03-02 10:20:00,2021-03-04 23:20:00+00:00,"https://kytc.maps.arcgis.com/apps/webappviewer/index.html?id=327a38decc8c4e5cb882dc6cd0f9d45d&zoom=14&center=-87.094266,37.32732"
2,Muhlenberg,KY-1379,KY-1379,0.0,5.0,Road closed due to flooding. Updates as available.,2021-03-02 10:20:00,2021-03-15 02:06:00+00:00,"https://kytc.maps.arcgis.com/apps/webappviewer/index.html?id=327a38decc8c4e5cb882dc6cd0f9d45d&zoom=14&center=-87.094266,37.32732"
2,Union,KY-667,KY-667,5.7,16.5,Roadway closed due to flooding. Updates as available.,2021-03-02 10:27:00,2021-03-03 14:10:01+00:00,"https://kytc.maps.arcgis.com/apps/webappviewer/index.html?id=327a38decc8c4e5cb882dc6cd0f9d45d&zoom=14&center=-88.124929,37.68567"
2,Union,KY-667,KY-667,5.7,11.2,Roadway closed due to flooding. Updates as available.,2021-03-02 10:27:00,2021-03-04 17:54:00+00:00,"https://kytc.maps.arcgis.com/apps/webappviewer/index.html?id=327a38decc8c4e5cb882dc6cd0f9d45d&zoom=14&center=-88.124929,37.68567"
6,Boone,KY-2852,RIDDLES RUN RD,0.0,0.7,Road closed due to flooding. Updates as available.,2021-03-05 15:29:00,2021-03-12 16:06:00+00:00,"https://kytc.maps.arcgis.com/apps/webappviewer/index.html?id=327a38decc8c4e5cb882dc6cd0f9d45d&zoom=14&center=-84.799455,38.907864"
6,Boone,KY-2852,RIDDLES RUN RD,0.0,0.8,Road closed due to flooding. Updates as available.,2021-03-05 15:29:00,2021-03-12 13:24:07+00:00,"https://kytc.maps.arcgis.com/apps/webappviewer/index.html?id=327a38decc8c4e5cb882dc6cd0f9d45d&zoom=14&center=-84.799455,38.907864"
7,Madison,KY-388,BOONESBORO RD,10.5,10.7,Road closed due to flooding. Updates as available.,2021-03-01 12:02:00,2021-03-03 13:42:01+00:00,"https://kytc.maps.arcgis.com/apps/webappviewer/index.html?id=327a38decc8c4e5cb882dc6cd0f9d45d&zoom=14&center=-84.282646,37.877501"
7,Madison,KY-388,BOONESBORO RD,10.5,11.5,Road closed due to flooding. Updates as available.,2021-03-01 12:02:00,2021-03-05 19:24:01+00:00,"https://kytc.maps.arcgis.com/apps/webappviewer/index.html?id=327a38decc8c4e5cb882dc6cd0f9d45d&zoom=14&center=-84.282646,37.877501"
12,Lawrence,KY-1760,KY-1760,0.0,1.0,Road closed due to flooding. Updates as available.,2021-03-01 11:55:00,2021-03-05 16:30:01+00:00,"https://kytc.maps.arcgis.com/apps/webappviewer/index.html?id=327a38decc8c4e5cb882dc6cd0f9d45d&zoom=14&center=-82.708133,37.998381"
12,Lawrence,KY-1760,KY-1760,0.0,9.6,Road closed due to flooding. Updates as available.,2021-03-01 11:55:00,2021-03-01 20:16:02+00:00,"https://kytc.maps.arcgis.com/apps/webappviewer/index.html?id=327a38decc8c4e5cb882dc6cd0f9d45d&zoom=14&center=-82.708133,37.998381"
